Produtos|Preços
Placa de Vídeo XFX RX 9060 XT OC AMD Radeon, 16GB, GDDR6, 128bits, 20 Gbps, Triple Fan, RDNA 4 - RX-96TS316B7|R$ 3.239,90
Placa de Vídeo XFX RX 9060 XT OC Gaming AMD Radeon, 8GB, GDDR6, 128bits, 20 Gbps, FidelityFX, RDNA 4 - RX-96TSW8GBQ|R$ 2.699,99
Placa de Vídeo ASRock RX 9060 XT SL 16GO AMD Radeon, 16GB, GDDR6, 128bits, Triple Fan, OpenGL 4.6, RDNA 4 - RX9060XT SL 16GO|R$ 3.229,90
Placa de Vídeo XFX RX 9060 XT OC White Gaming AMD Radeon, 8GB, GDDR6, 128bits, 20 Gbps, FidelityFX, RDNA 4 - RX-96TSW8GWQ|R$ 2.729,90
Placa de Vídeo PowerColor RX 9060 XT Reaper AMD Radeon, 16GB, GDDR6, 128bits, OpenGL 4.6, RDNA 4 - RX9060XT 16G-A|R$ 3.229,90
Placa de Vídeo ASUS TUF RX 9060 XT OC 16G Gaming AMD Radeon, 16GB, GDDR6, 128bits, RGB, Triple Fan. OpenGL 4.6 - 90YV0LF0-M0NA00|R$ 3.799,90
Placa de Vídeo PowerColor RX 9060 XT Hellhound AMD Radeon, 8GB, GDDR6, 128bits, Tripe Fan, OpenGL 4.6 - RX9060XT 8G-L/OC|R$ 2.899,99
Placa de Vídeo PowerColor RX 9060 XT Hellhound AMD Radeon, 16GB, GDDR6, 128bits, Triple Fan, OpenGL 4.6 - RX9060XT 16G-L/OC|R$ 3.279,99
Placa de Vídeo ASUS PRIME RX 9060 XT OC 8G AMD Radeon, 8GB, GDDR6, 128bits, Triple Fan, OpenGL 4.6 - 90YV0MI0-M0NA00|R$ 3.099,99
Placa de Vídeo Gigabyte RX 9060 XT Gaming OC AMD Radeon, 16GB, GDDR6, 128bits, Triple Fan, OpenGL 4.6 - GV-R9060XTGAMING OC-16GD|R$ 3.499,99
Placa de Vídeo ASUS PRIME RX 9060 XT OC 16G AMD Radeon, 16GB, GDDR6, 128bits, Tripe Fan, OpenGL 4.6 - 90YV0LF1-M0NA00|R$ 3.499,99
Placa de Vídeo XFX RX 9060 XT OC White AMD Radeon, 16GB, GDDR6, 128bits, 20 Gbps, Triple Fan, FidelityFX, RDNA 4 - RX-96TS316W7|R$ 3.239,90
Placa de Vídeo SAPPHIRE RX 9060 XT PURE AMD Radeon, 16GB, GDDR6, 20 Gbps, FidelityFX, RDNA 4 - 11350-02-20G|R$ 3.229,90
Placa de Vídeo ASRock RX 9060 XT CL 16GO AMD Radeon, 16GB, GDDR6, 128bits, OpenGL 4.6, RDNA 4 - RX9060XT CL 16GO|R$ 3.039,90
Placa de Vídeo PowerColor RX 9060 XT Reaper AMD Radeon, 8GB, GDDR6, 128bits, OpenGL 4.6, RDNA 4 - RX9060XT 8G-A|R$ 2.699,99
Placa de Vídeo ASUS DUAL RX 9060 XT 8G AMD Radeon, 8GB GDDR6, 128bits, OpenGL 4.6 - 90YV0MI1-M0NA00|R$ 2.899,99
Placa de Vídeo SAPPHIRE RX 9060 XT PULSE AMD Radeon, 16GB, GDDR6, 20 Gbps, FidelityFX, RDNA 4 - 11350-03-20G|R$ 3.179,90
Placa de Vídeo ASRock RX 9060 XT SL 8GO AMD Radeon, 8GB, GDDR6, 128bits, Triple Fan, OpenGL 4.6, RDNA 4 - RX9060XT SL 8GO|R$ 2.799,99
Placa de Vídeo ASRock RX 9060 XT CL 8GO AMD Radeon, 8GB, GDDR6, 128bits, OpenGL 4.6, RDNA 4 - RX9060XT CL 8GO|R$ 2.629,90
Placa de Vídeo SAPPHIRE RX 9060 XT PULSE AMD Radeon, 8GB, GDDR6, 20 Gbps, FidelityFX, RDNA 4 - 11350-04-20G|R$ 2.599,99
Placa de Vídeo ASRock RX 9060 XT SL 8GO AMD Radeon, 8GB, GDDR6, 128bits, Triple Fan, OpenGL 4.6, RDNA 4 - RX9060XT SL 8GO|R$ 2.799,99
Placa de Vídeo XFX AMD RADEON RX 7600 Gaming Graphics Card, 8GB, GDDR6 - RX-76PMBABFY|R$ 1.739,90
Placa de Vídeo RX 6600 CLD 8G ASRock AMD Radeon, 8GB, GDDR6 - 90-GA2RZZ-00UANF|R$ 1.599,90
Placa de Vídeo PNY GeForce RTX 4060, 8GB XLR8 Gaming VERTO, Overclocked, Dual Fan, DLSS 3 - VCG40608DFXPB1-O|R$ 2.199,99
